,data_point_id,annotator_id,label,original_text,category
60,60,NA,NA,"[""At no time during or after the Term of this      Agreement shall a party challenge or assist others to challenge the other      party's Intellectual Property or the registration thereof or attempt to      register any trademarks, marks or trade names confusingly similar to those      or the other party.""]",Covenant Not To Sue
61,61,NA,NA,"['The maximum liability of one Party to the other Party and its affiliates in relation to this Agreement will be [***] (""Liability Cap""), provided however that:<omitted>9.1.1 The Liability Cap will not apply to any (1) material confidentiality breach under Section 5, and/or (2) indemnification obligations under Section 7.1. 9.1.2 The Liability Cap will not apply to intentional misconduct and/or gross negligence.']",Uncapped Liability
62,62,NA,NA,['Such usage may not be sold or transferred.'],Non-Transferable License
63,63,NA,NA,"['SpinCo agrees that it will not (i) oppose, challenge, petition to cancel, contest or threaten in any way, or assist another party in opposing, challenging, petitioning to cancel, contesting or threatening in any way, any application or registration by Nuance or its Affiliates or their respective licensees for any Nuance IP, (ii) engage in any act, or purposefully omit to perform any act, that impairs or adversely affects the rights of Nuance or any member of the Nuance Group in and to any Nuance IP or (iii) apply for any registration (including federal, state and national registrations) with respect to the Nuance IP.', 'Nuance agrees that it will not (i) oppose, challenge, petition to cancel, contest or threaten in any way, or assist another party in opposing, challenging, petitioning to cancel, contesting or threatening in any way, any application or registration by SpinCo or its Affiliates or their respective licensees for any SpinCo IP, (ii) engage in any act, or purposefully omit to perform any act, that impairs or adversely affects the rights of SpinCo or any member of the SpinCo Group in and to any SpinCo IP or (iii) apply for any registration (including federal, state and national registrations) with respect to the SpinCo IP.']",Covenant Not To Sue
64,64,NA,NA,"['In case of violation of this article, the Party shall pay to the other Party an equivalent of eighteen (18) months gross salary of the respective employee.']",Liquidated Damages
65,65,NA,NA,"['For clarity, the exclusive license granted to Licensee pursuant to Section 2.1 shall extend to all Intellectual Property Rights and Know-How Controlled by Bioeq and embodied within, or claiming or covering the Bioeq Improvements.', ""Solely in the event that this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9 or by Licensee pursuant to Section 15.2.5 , Licensee shall grant, and hereby grants to Bioeq an exclusive, royalty-free, fully paid, sublicenseable, license to use the Licensee-Controlled Trademarks which were actually used by Licensee to Commercialize the Licensed Products in the Territory in connection with Bioeq's Commercialization of the Licensed Products in the Territory."", 'Subject to the provisions of this Agreement, Bioeq hereby grants to Licensee an exclusive (even as to Bioeq), milestone- and royalty-bearing, non-transferable license (including the right to grant sublicenses only to the extent permitted by Section 2.1.2) under the Licensed Technology (including the Licensed Patents) to use, sell, have sold, import, have imported or otherwise Commercialize the Licensed Products in the Field in the Territory.']",Exclusivity
66,66,NA,NA,"[""CERES is hereby granted a first option, to be exercised by written notice within thirty (30) days from         CERES-IGER Collaboration Agreement<omitted>IGER's aforementioned written report or such other time period as the Parties may agree to be granted the same right as set forth in Article 5.3 to  commercialize any results of such activities."", 'If CERES exercises its option to commercialize under Article 3.3, CERES and IGER shall negotiate the terms of a commercialization  agreement that covers the reported result with reference to any commercialization agreement then in existence between the Parties or the model  license agreement or remuneration principles included herein (as applicable).', ""If CERES declines to exercise the option under Article 3.3 or fails to respond within thirty (30) days of IGER's notice under Article 3.3, then  IGER shall then be free to commercially exploit the results or offer rights in such results to third parties in any and all crops."", 'CERES shall have the first option to pursue such protection in its best judgment in the joint names of both Parties.']",Rofr/Rofo/Rofn
67,67,NA,NA,"['Notwithstanding any prior termination of this Agreement, [●], solely in its capacity as Remarketing Agent, hereby covenants and agrees that it shall not, prior to the date which is one year and one day after the redemption and the payment in full of the VRRM-MFP Shares and all accumulated dividends, petition or otherwise invoke the process of any court or government authority for the purpose of commencing a case against, the Fund under any federal or state bankruptcy, insolvency or similar law or appointing a receiver, liquidator, assignee, trustee, custodian, sequestrator or other similar official of the Fund or any substantial part of the property of the Fund; provided, however, that nothing in this provision shall preclude, or be deemed to stop, the Remarketing Agent from taking any action prior to the expiration of the aforementioned one year and one day period in (x) any case or proceeding voluntarily filed or commenced by the Fund, (y) any involuntary insolvency proceeding filed or commenced against the Fund by a Person other than the Remarketing Agent, or (z) with respect to its rights or preferences as a Beneficial Owner or Holder of VRRM-MFP Shares.']",Covenant Not To Sue
68,68,NA,NA,"['Except for breach of Article                -------------------------------                               VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages.']",Uncapped Liability
69,69,NA,NA,"['Except with respect to your obligations to indemnify us and claims that we may bring under Sections 7, 9, 15, or 16 of this Agreement, and except for claims arising from your non-payment or underpayment of any amounts owed to us or our affiliates, (1) any and all claims arising out of or related to this Agreement or the relationship between you and us shall be barred, by express agreement of the parties, unless an action or proceeding is commenced within two (2) years from the date the cause of action accrues; and (2) you and we hereby waive to the fullest extent permitted by law, any right to or claim for any punitive or exemplary damages against the other, and agree that, except to the extent provided to the contrary in this Agreement, in the event of a dispute between you and us, each party will be limited to the recovery of any actual damages sustained by it.']",Uncapped Liability
70,70,NA,NA,"[""Janssen or an authorized representative of Janssen, and any governmental agency that regulates a Party, may, at reasonable times during the Term and upon reasonable notice to Company, inspect and audit the Books and Records of Company with respect to Company's obligations under this Agreement for the sole purpose of evaluating Company's compliance with Sections 3.1.3, 3.4.2, 11.5 and 11.6 of this Agreement, applicable Laws and the Promotion Rules."", ""Without prejudice to Section 7.5 of the Agreement, Janssen or its designee shall have the right to audit Company to verify Company's compliance with this Schedule and the Applicable Law, provided that Janssen provides Company with at least [***] ([***]) calendar days prior written notice. T"", ""The independent certified public accounting firm will be provided access to the Books and Records of the Audited Party, and such examination will be conducted during the Audited Party's normal business hours."", 'Upon [***] ([***]) days prior notice from a Party (the ""Auditing Party""), the other Party (the ""Audited Party"") will permit an independent certified public accounting firm of internationally recognized standing selected by the Auditing Party and reasonably acceptable to the Audited Party, to examine the relevant Books and Records of the Audited Party, as may be reasonably necessary to verify the accuracy of the reports provided by the Audited Party pursuant to Section 3.2.4 or Section 5.5.1, as applicable, and the payments made or invoiced under this Agreement.']",Audit Rights
71,71,NA,NA,"['VIP shall have no liability with respect to its obligations under this agreement or otherwise for consequential, exemplary, special, indirect, incidental or punitive damages even if it has been advised of the possibility of such damages in any event, other than claims covered by paragraph 8(b) or paragraph 6(a) of this agreement (which claims are excluded from this paragraph 9(f) limitation), the liability of VIP to BNL for any reason and upon any cause of action or claim in contract, tort or otherwise shall be limited to the amount paid by BNL to VIP in the twelve (12) month period prior to the accrual of the action or claim for the specific service which is the subject of the action or claim (or, if such accrual occurs during the first twelve (12) months of the initial term, then the liability shall be limited to the minimum fees payable by BNL to VIP during the first twelve (12) months of the initial term).']",Uncapped Liability
72,72,NA,NA,"['During the term of this Agreement, and subject to the terms and conditions hereof, STAAR hereby grants to Distributor, and Distributor hereby accepts, the limited, nontransferable, nonexclusive right and license to use the trade name, trademarks, and logos of STAAR (collectively, ""Trademarks""), without the right to grant sublicenses, solely in connection with the marketing, distribution and sale of the Products in the Territory pursuant to this Agreement.', "". Distributor shall not grant this privilege to any third party or to any affiliates without Company's prior written consent.""]",Non-Transferable License
73,73,NA,NA,"['IN NO EVENT SHALL EITHER PARTY BE LIABLE TO EACH OTHER OR ANY OTHER ENTITY FOR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL OR INDIRECT DAMAGES, HOWEVER CAUSED, ON ANY THEORY OF LIABILITY, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.']",Cap On Liability
74,74,NA,NA,"['The licenses granted hereunder do not              ---------------------------                                        include for the Grantee the right to grant sublicenses to any third party except as expressly provide in Section 6.03.', 'Subject to the terms and               --------------------------------                           conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.', 'Subject to the terms and               -----------------------------------                           conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.']",Non-Transferable License
75,75,NA,NA,"[""Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts and its Affiliates a non- exclusive, royalty-free, irrevocable [***] non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the Company's Intellectual Property to, throughout the Territory, access, use, reproduce, perform, display, modify, create derivative works of, transmit, demonstrate, test, operate, port, configure, distribute, and make available the Installed Software and Subscription Software Services"", 'Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts and its Affiliates a non-exclusive, royalty- free, irrevocable [***] non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid- up right and license under all of the Company\'s Intellectual Property to use the Company\'s brands, trademarks, product and service names, logos and slogans (the ""Company Marks""), throughout the Territory, solely in connection with the marketing, selling, or provision of the Installed Software and the Subscription Software Services and Merchant Processing Services permitted hereunder or to otherwise fulfill the terms of this Agreement. [***].', ""Subject to the terms and conditions of this Agreement, Allscripts hereby grants to the Company a non-exclusive, royalty-free, irrevocable [***] non-transferable (except in accordance with Section 28.4), fully paid-up right and license under all of Allscripts' Intellectual Property to use the Allscripts Marks, throughout the Territory, solely in connection with providing the Installed Software and Subscription Software Services to Sublicensed Customers who have signed a Customer Agreement and to otherwise fulfill the terms of this Agreement."", ""Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts a non-exclusive, royalty-free, irrevocable , non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the Company's Intellectual Property to access, use, reproduce, perform, display, transmit, demonstrate, test, operate, port, configure, distribute, and make derivative works of the Documentation, Company Marketing Materials and Allscripts Marketing Materials, in whole or in part, throughout the Territory, for any purpose consistent with Section 8.1, [***].""]",Irrevocable Or Perpetual License
76,76,NA,NA,"['EXCEPT AS SET FORTH IN SECTION 6 AND 7.1,              ------------------------ UNDER  NO  CIRCUMSTANCES  WILL  EITHER  PARTY  BE  LIABLE TO THE OTHER UNDER ANY CONTRACT,  STRICT  LIABILITY, NEGLIGENCE OR OTHER LEGAL OR EQUITABLE THEORY, FOR ANY  INCIDENTAL  OR CONSEQUENTIAL DAMAGES OR LOST PROFITS IN CONNECTION WITH THE SUBJECT  MATTER  OF  THIS  AGREEMENT.']",Uncapped Liability
77,77,NA,NA,"['The right and license to use the Licensed Marks granted hereunder to You is nonexclusive, and AIRSOPURE may use and grant franchises to others to use the Licensed Marks in any manner except as expressly provided otherwise herein.', 'Accordingly, You shall not sell, assign, transfer, convey, give away, mortgage or otherwise encumber any direct or indirect interest in the Franchise without the prior written consent of AIRSOPURE.']",Non-Transferable License
78,78,NA,NA,"['Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee or any of its Affiliates or sublicensees directly or indirectly challenge the validity or enforceability of, or oppose any extension of or the grant of a supplementary protection certificate with respect to, any Licensed Patent in any legal, court, administrative or other governmental proceeding.']",Covenant Not To Sue
79,79,NA,NA,"['NEITHER PARTY SHALL BE LIABLE FOR ANY SPECIAL, INCIDENTAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES OF ANY KIND (INCLUDING LOST PROFITS) REGARDLESS OF THE FORM OF ACTION, WHETHER IN CONTRACT, TORT, NEGLIGENCE, BREACH OF STATUTORY DUTY OR OTHERWISE, SUFFERED BY THE OTHER PARTY, EVEN IF THAT PARTY HAS BEEN INFORMED OF THE POSSIBILITY OF ANY SUCH DAMAGES IN ADVANCE. [***].']",Cap On Liability
80,80,NA,NA,"['Minimum Payment Schedule (All amounts are in US Dollars):<omitted>PAYMENT  YEAR\n\nMINIMUM PAYMENT    ACCESS FEE    SECOND COMPONENT\n\nYear 1    $400,000    $300,000    $100,000    Year 2    $700,000    $300,000    $400,000    Year 3    $1,100,000    $300,000    $800,000    Year 4    $1,600,000    $300,000    $1,300,000    Year 5    $2,100,000    $300,000    $1,800,000', 'The Minimum Payment consists of the Access Fee of US$300,000 per annum and  the Second Component that increases from year to year.']",Minimum Commitment
81,81,NA,NA,"['Products. Any failure of Endorser to disclose such conflicting interests, or any breach of this Section, shall be deemed a material breach of the Agreement.', ""Endorser's duty not to compete with the business of MusclePharm shall continue for a period of one year following the expiration or termination of this Agreement."", ""Endorser's duty not to compete with the business of MusclePharm shall continue for a period of one year following the expiration or termination of this Agreement. Endorser's non-competition obligation shall not be required in the event of a material breach of this Agreement by MusclePharm."", 'Endorser shall not use or provide endorsements or testimonials for products that compete with MusclePharm Products or the Licensed Products.']",Non-Compete
82,82,NA,NA,"['In the event that, during the applicable Minimum Threshold Periods (as defined below), Microgenics does not receive the applicable Minimum Threshold Revenue (as defined below) during a given calendar year, Achaogen agrees to pay  [***] Microgenics for such region during such calendar year (on a prorated basis, as applicable).<omitted>""Minimum Threshold Revenue"" shall mean, with respect to each of the First Minimum Threshold Period and the Second Minimum Threshold Period, USD $[***] of annual gross revenue received by Microgenics from sales of the Assay in the Territory (for clarity, during any overlap between the First Minimum Threshold Period and the Second Minimum Threshold Period, the total Minimum Threshold Revenue would be USD $[***]); provided, however, that the Minimum Threshold Revenue (i) shall be determined by [***] for a given Assay, less [***] directly associated with such sale and Assay and permitted to be taken in accordance with generally accepted accounting principles in the United States, and (ii) that in the event the Minimum Threshold Period begins or ends during a given calendar year, the Minimum Threshold Revenue for such calendar year shall be prorated accordingly.']",Minimum Commitment
83,83,NA,NA,"['Client will pay TrueLink\'s fees for requested Hosting Services and Support Services pursuant to the schedule of charges set forth on Exhibits ""A"" and ""B"" attached hereto, (but not less than $____ per month for the Hosting Services and $____ per month for Support Services).']",Minimum Commitment
84,84,NA,NA,"[""Shipper shall be entitled to audit Carrier's applicable books and records for the limited purpose of determining if the amount of any increase pursuant to this Section 6.2 is justified by the actually-incurred and reasonable amount of the aggregate costs and/or expenses relating to the System; provided, however, such audit shall not require Carrier to disclose confidential information of any Person other than Shipper who is a shipper on the System""]",Audit Rights
85,85,NA,NA,"['Excite will in ""good faith"" ensure Client that the above mentioned             banners and promotional placements will be more prominently             presented than any other ""competitive retailer\'s"" banners or             promotional placements for the term of the Agreement. For the             purposes of this Agreement, a ""competitive retailer"" means an             on-line department store comparable to Bloomingdale\'s, Macy\'s,             Burdine\'s, Shopping.com, Chef\'s Catalog or iQVC.']",Non-Compete
86,86,NA,NA,"['Accurate and complete books of account of the transactions of the Joint Venture will be kept in accordance with generally accepted accounting principles (GAAP) and at all reasonable times will be available and open to inspection and examination by any Participant.', 'The audit will be performed by an accounting firm acceptable to all the Participants.', 'Any of the Participants will have the right to request an audit of the Joint Venture books.', 'Not more than one (1) audit will be required by any or all of the Participants for any fiscal year.', 'The cost of the audit will be borne by the Joint Venture.']",Audit Rights
87,87,NA,NA,"['Company will not sublicense pass-through or otherwise grant to any third parties the rights granted to Company hereunder without the NFLA prior written consent, including but not limited to the right to use the Licensed Marks.']",Non-Transferable License
88,88,NA,NA,"['Subject to Section 3.2, a Licensor Party, on behalf of itself and the other members of the Licensor Group, and solely to the extent the Licensor Party or another member of the Licensor Group has the right to do so, hereby grants and agrees to grant to the applicable Licensee Party and the other members of the Licensee Group, subject to the field restriction of Section 3.1.2, a royalty-free, nonexclusive, perpetual, irrevocable, fully paid-up, worldwide right and license, with the right to sublicense as provided in Section 3.1.3, to Exploit Intellectual Property Rights that are owned by the Licensor Party or another member of the Licensor Group immediately following the assignments pursuant to Article II and meet one or more of the following descriptions with respect to the relevant Licensee Party: (a) the Intellectual Property Rights are rights under Licensed Patents or other Intellectual Property Rights that, in each case, as of the Effective Time, are either (A) used in connection with, or necessary for the ongoing conduct of, the current business of the Licensee Party or another member of the Licensee Group, or (B) Contemplated to be Used in the business of the Licensee Party, or another member of the Licensee Group, in the Licensee Group Field; provided, however, that the license granted in this Section 3.1.1(a) does not apply to the Intellectual Property Rights received under or otherwise governed by an Excluded Agreement; and/or (b) the Intellectual Property Rights are embodied in an invention, or proposed invention, that is both (i) described in a Patent or Invention Disclosure held by the Licensor Party or another member of the Licensor Group and (ii) conceived by at least one inventor who, at the time of conception, was employed by a member of the Licensee Group, a non-inclusive list of which inventions and proposed inventions are provided in Schedule 3.1.1(b), provided, however, that the license granted in this Section 3.1.1(b) does not apply to an invention conceived under or otherwise governed by an Excluded Agreement; and/or (c) the Intellectual Property Rights are subject to an assignment to the Licensor Party in Section 2.1.1(b) concerning Performer Foreground-Delivered IPR conceived or created in the course of services concerning which the Licensor Party or another member of the Licensor Group was the Requester and the Licensee Party or another member of the Licensee Group was the Performer; and/or<omitted>(d) the Intellectual Property Rights are Performer Background IPR or Patent rights of the Licensor Party or another member of the Licensor Group and is necessary for the Licensee Party or another member of the Licensee Party to Exploit the Performer Foreground-Delivered IPR in the Licensee Group Field, provided, however, that the license granted in this Section 3.1.1(d) applies only to the extent necessary for the Licensee Party or another member of the Licensee Group to Exploit the Performer Foreground-Delivered IPR in the Licensee Group Field.']",Irrevocable Or Perpetual License
89,89,NA,NA,"['In the event that Excite             has not delivered XXXXXXXXXXXXXXXXXXXXX clickthroughs to the Client\n\n\n\n\n\n            Site by end of the additional four-month period, Client may             terminate this Agreement immediately upon delivery of written notice             to Excite.', ""The term of this Agreement will begin on the Launch Date and will             not end until Excite displays of a total of XXXXXXXXXXXXX             impressions of Client's advertising banners and promotional             placements on the Excite Site and Excite has made reasonable             commercial efforts to deliver, at minimum, a goal of XXXXXXXX             clickthroughs to the Client Site."", 'In the event that Excite has not delivered XXXXXXXXXXXXXXXX             clickthroughs to the Client Site by the end of twelve (12) months             after the Launch Date, the first year of the term of the Agreement             will be extended without additional sponsorship and advertising fees             for up to an additional four (4) months.']",Minimum Commitment
90,90,NA,NA,"['The foregoing provisions of this section 19 state the entire liability and obligations of Tripath and the exclusive remedy of Distributor and its customers, with respect to any actual or alleged intellectual property infringement by the Products.', 'Neither Tripath nor Distributor will be liable for any incidental or consequential<omitted>damages (including, without limitation, damages for loss of business profits, business interruption, loss of business information, or other pecuniary loss) arising out of this Agreement, even if advised of the possibility of such damages.']",Cap On Liability
91,91,NA,NA,"['Biocept will provide notice to Life Technologies on December 31, 2012 if the conditions for the option apply, and if Life Technologies delivers written notice of exercise of such right of negotiation to Biocept on or before January 15, 2013, the parties will negotiate in good faith to conclude a license agreement no later than February 28, 2013.', 'Biocept grants to Life Technologies a non-exclusive option, exercisable during the two (2) year period beginning on the Effective Date, to develop plans, and negotiate with Biocept, for the co-development with Biocept of such systems for the Assay, employing or based on Biocept technologies.', 'If Biocept does not obtain at least ten million dollars ($10,000,000) in equity financing by December 31, 2012, then Life Technologies shall have the non-exclusive option, exercisable by written notice to Biocept given no later than January 15, 2013, to negotiate with Biocept for a license (unless the parties mutually agree to a different transaction structure) to all necessary Intellectual Property<omitted>Rights and know-how to independently commercialize the Assay in accordance with applicable Laws.']",Rofr/Rofo/Rofn
92,92,NA,NA,['You do not have any right to sublicense or subfranchise others within or outside of the Designated Area and do not have the right to operate more than one (1) Franchised Restaurant within the Designated Area.'],Non-Transferable License
93,93,NA,NA,"['In the event of a termination of this Agreement, FG shall have an irrevocable, exclusive, license, with the right to grant and authorize sublicenses, to any trademarks used by Astellas in association with the Lead Compounds hereunder to make, use, sell, import and otherwise exploit products within the Field in the Astellas Territory.', 'Notwithstanding Section 14.1, in the event that Astellas develops, completely independently from any FG Technology and/or any other FG materials, confidential information, intellectual property or other related information provided by or on behalf of FG to Astellas under this Agreement or any other agreement between FG and Astellas relating to the subject matter hereof, any inventions or intellectual property rights related to the Field or the Expanded Field, [ * ], Astellas shall own such intellectual property and hereby grants to FG and its Sublicensees a non-exclusive, royalty-free, irrevocable license to such intellectual property for the FG Territory.']",Irrevocable Or Perpetual License
94,94,NA,NA,"['Flotek shall have the right at any time to (i) inspect the facility of FCC in Winter Haven, Florida (the ""Facility"") and any other facility of FCC involved in the production of the Terpene Product, and (ii) audit the books and records of FCC', 'Any such inspection or audit shall be upon reasonable notice and shall not unreasonably interfere with the operations of FCC.']",Audit Rights
95,95,NA,NA,"['Notwithstanding the foregoing, in the event ExxonMobil decides not to prosecute, defend, enforce, maintain or decides to abandon any Program Patent, then ExxonMobil will provide notice thereof to FCE, and FCE will then have the right, but not the obligation, to prosecute or maintain the Program Patent and sole responsibility for the continuing costs, taxes, legal fees, maintenance fees and other fees associated with that Program Patent.', 'During the Term of this Agreement and for two (2) years thereafter, in the event that either Party decides to sell or convey its interest in or otherwise dispose of any Prior JDA Project Patent to any Non-Affiliated Third Party, such Party will inform the other Party, who will then have the right of first refusal to purchase or otherwise acquire the sole interest at same or better terms.']",Rofr/Rofo/Rofn
96,96,NA,NA,"['Company agrees that no other Distributor will be appointed in any other state as a Distributor unless it is either the Company or Distributor, save and except for the state of Florida.', ""Company hereby appoints Distributor as Company's exclusive Distributor for the State of Texas, and Distributor accepts the appointment and agrees to represent the Products within the Territory.""]",Exclusivity
97,97,NA,NA,"['To the extent that Reseller or any Other Reseller is deemed to                 be the owner of all or any portion of the TouchStar Software,                 any Intellectual Property Rights of TouchStar or any Ancillary                 Software, or any improvements or intellectual property rights                 related thereto pursuant to applicable law, Reseller (i) hereby                 assigns exclusively to TouchStar all rights of Reseller in and                 to such Software and any improvements and intellectual property                 rights related thereto royalty-free and exclusively and (ii)                 shall include in any Other Reseller Agreement provision by which                 any Other Reseller grants to TouchStar an exclusive, perpetual,                 irrevocable, royalty-free assignment of all deemed rights of                 such Other Reseller in and to such TouchStar Software, Ancillary                 Software and Intellectual Property Rights.']",Irrevocable Or Perpetual License
98,98,NA,NA,"[""Talent represents and warrants that during the Term and in the Territories, Talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to ESSI's products.""]",Non-Compete
99,99,NA,NA,"[""The Destination shall not contain any links to           any third party sites for the purchase of Competitor's Goods; provided           that the Destination will link to the Co-Host Site (which will sell           Competitor's Goods).""]",Non-Compete
100,100,NA,NA,"[""To determine  whether  Franchisee  and the Unit are complying with this Agreement and with all Pretzel Time's  standards and operations as prescribed by Pretzel Time,  Pretzel Time or its designated agents shall have the right at any reasonable time and without prior notice to Franchisee to:\n\n         a.  Inspect the Unit;\n\n         b. Observe,  photograph  and video tape the Unit's  operations for such          consecutive or intermittent periods as Pretzel Time deems necessary;\n\n         c. Remove  samples of any  Products,  materials or supplies for testing and analysis;\n\n         d.  Interview personnel of the Unit;\n\n         e.  Interview customers of the Unit; and\n\n         f. Inspect and copy any books,  records and  documents  relating to the          operation  of the Unit.  Franchisee  agrees  to  cooperate  fully  with          Pretzel Time in connection with any such inspections, observations,  photographing,  video  taping,  Product  removal and  interviews. Franchisee  shall present to his customers  such comment or evaluation  forms as Pretzel Time periodically  prescribes and shall  participate  and/or request his customers  to  participate  in any surveys  performed by or on behalf of Pretzel Time."", ""The audit will be conducted at the expense of Pretzel Time, provided that if an audit  disclosed an  understatement  of two percent (2%), as described above,  Franchisee will bear the cost of the audit,  including without limitation,  the charges of attorneys  and any  independent  accountants,  their travel   expenses,   room  and  board,   and   compensation  of  Pretzel  Time's representatives  and  independent  accountants."", 'Pretzel  Time or its  designee  shall have the right at any time during business  hours and without prior notice to  Franchisee,  to inspect,  audit and copy or the right to cause to be  inspected,  audited and copied,  the  business records,  bookkeeping and accounting  records,  sales and income tax records and returns and other records of the Franchised Business,  including but not limited to,  daily  cash  reports,  cash  receipts  journal  and  general  ledger,  cash disbursements  journal and weekly payroll register,  monthly bank statements and daily deposit slips and cancelled checks; tax returns,  supplier invoices, dated cash register tapes, weekly inventories, sales reports, financial statements and tax returns and the books and records of any  corporation or  partnership  which holds the Franchise  including the personal financial records and tax returns of the Franchisee during and after the term of the Franchise Agreement.', 'Providing  that in no case will Franchisee be obligated to pay more than ten thousand dollars ($10,000) for such inspection  or audit  costs.', ""Franchisee shall fully cooperate with Pretzel Time's representatives and independent accountants hired by Pretzel Time to conduct any such inspection or audit.""]",Audit Rights
101,101,NA,NA,"['At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.', 'Additionally commencing on the Effective Date and continuing for eighteen (18) months, World Book shall offer HSWI a right of first refusal to create any paid-subscription Chinese language websites, which do not exist as of the date hereof, using the Content on equal or better terms as agreed to between World Book and a third party.']",Rofr/Rofo/Rofn
102,102,NA,NA,"[""During the Term and for a period of [***] ([***]) months following the Term of this Agreement, other than pursuant to Sections 13.3.2 (Effects of Termination Based Upon Ginkgo's Buy-Down Election) or 13.3.3 (Effects of Termination Based Upon an Uncured Ginkgo Breach, Insolvency or Force Majeure Event), BLI shall not, and shall cause its Affiliates not to, directly or indirectly, itself or with or through a Third Party, develop, configure, customize, license, sell, provide or otherwise give access to the Beacon Platform or any [***] to, [***] or its Affiliates for any use; provided that this restriction shall terminate as set forth in Section 13.3 (Effects of Expiration or Termination) or if Ginkgo has not satisfied its Minimum Cumulative Purchase Commitments (as such may be adjusted under this Agreement) for a full Contract Year, including [***] as permitted under Section 7.2.2(a) (Minimum Cumulative Purchase Commitments) or Section 7.2.2(b)(iii) (Development Purchase Commitments); provided that BLI will provide written notice to Ginkgo within [***] ([***]) days of the end of any Contract Year with respect to which BLI believes that Ginkgo has not satisfied its Minimum Cumulative Purchase Commitment.""]",Non-Compete
103,103,NA,NA,"['Not later than the first Business Day of […***…] during the Profiling Term and Profiling Renewal Terms, Roche will provide FMI with a rolling forecast of its estimated requirements for Sample Profiling for the following […***…], the rolling forecast for the […***…] of which shall be deemed to be a binding order for sample volume (including specifications for the number of samples to be run using each of FMI\'s different tests) (""Binding Orders"").']",Minimum Commitment
104,104,NA,NA,"['Exact agrees it shall spend at least eighty million dollars ($80,000,000) toward Marketing and Promotion (including any amounts spent between January 1, 2018 and the Effective Date) and the pro-rated Shared M&P Expense for 2018.', ""Notwithstanding the above, Pfizer agrees to invest its portion of Shared M&P Expense each Calendar Year subject to, (a) Exact spending at least twelve million dollars ($12,000,000) in Baseline M&P Expense each Calendar Quarter (provided, that notwithstanding Exact's quarterly spend for Baseline M&P Expense, Exact shall spend a total of eighty million dollars ($80,000,000) in Baseline M&P Expense each Calendar Year measured as of the end of each Calendar Year), (b) an amount equal to the total Shared M&P Expense contributed by both Parties is used for Marketing and Promotion and (c) a total sum of not less than eighty million dollars ($80,000,000) of Baseline M&P Expense is used for Marketing and Promotional activities, including the costs of Exact Sponsorships and Related Activities; provided, however, the Parties may agree to reallocate Shared M&P Expenses by 28\n\nSource: EXACT SCIENCES CORP, 8-K, 8/22/2018\n\n\n\n\n\nmutual written consent.""]",Minimum Commitment
